FID,osm_id,office,addr_house,name,amenity,addr_hou_1,operator,tourism,shop,brand,alt_name_e,name_yue,name_zh_Ha,contact_we,addr_distr,name_de,name_fr,name_nl,alt_name_d,addr_provi,alt_name_f,alt_name_n,consulate,addr_stree,name_en,target,level,country,name_zh__1,diplomatic,addr_city,addr_postc,website,cuisine,capacity,floor,phone,opening_ho,official_n,official_1,wikidata,name_zh,name_pt,addr_unit,email,fax,addr_subdi,wheelchair,addr_count,name_it,lobby_floo,currency_R,payment_ca,payment_cr,air_condit,brand_wiki,brand_en,drive_thro,alt_name,takeaway,brand_wi_1,brand_zh,x,y
0,7357057681.000000000000000,diplomatic,10,比利时王国驻广州总领事馆, , , , , , ,Belgian Consulate General,比利时王国驻广州总领事馆,比利时王国驻广州总领事馆,https://china.diplomatie.belgium.be/en/contacts/consulate-general-guangzhou,天河区,Generalkonsulat von Belgien,Consulat général de Belgique,Consulaat-generaal van België,Belgisches Generalkonsulat,广东省,Consulat général belge,Belgisch consulaat-generaal,consulate_general,华夏路,Consulate General of Belgium,CN-FJ;CN-GD;CN-GX;CN-HI;CN-YN,7,BE,比利時王國駐廣州總領事館,consulate,广州市,510623, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316600100000000,23.119757199999999
1,2697112609.000000000000000, ,5号,愉悦轩,restaurant, , , , , , , , , ,天河区, , , , ,广东省, , , ,珠江西路,YU YUE HEEN, , , , , ,广州市,510623,https://www.fourseasons.com/guangzhou/dining/restaurants/yu_yue_heen/,chinese/cantonese,"Total 174, Private 80",71,+86 20 8883 3888,"Lunch 11:30-14:30, Dinner 17:30-22:30", , , , , , , , , , , , , , , , , , , , , , , , ,113.317994500000000,23.120005500000001
2,5251370121.000000000000000,diplomatic,5号22层,大不列颠及北爱尔兰联合王国驻广州总领事馆, , , , , , , , , , ,天河区, , , , ,广东省, , ,consulate_general,珠江西路,British Consulate General Guangzhou,CN, ,GB, ,consulate,广州市, , , , , , , ,Consulate General of the United Kingdom of Great Britain and Northern Ireland in Guangzhou,大不列颠及北爱尔兰联合王国驻广州总领事馆,Q27506934,大不列颠及北爱尔兰联合王国驻广州总领事馆, , , , , , , , , , , , , , , , , , , , ,113.317784000000000,23.120099199999999
3,9962942619.000000000000000,diplomatic,No. 5,葡萄牙驻广州总领事馆, ,International Finance Centre, , , , , , , , ,Tianhe, , , , ,Guangdong, , ,consulate_general,Zhujiang Xi Road,Consulate General Of Portugal In Guangzhou,CN,38,PT, ,consulate,Guangzhou,510623,https://cantao.consuladoportugal.mne.gov.pt, , , ,+86 20 8758 1621,"Mo-Fr 10:00-12:00,14:00-18:00; PH closed", , , ,葡萄牙驻广州总领事馆,Consulado-Geral de Portugal em Cantão,3811,cantao@mne.pt,+86 20 3788 9330,Zhujiang New Town,yes,CN, , , , , , , , , , , , , ,113.317994799999990,23.120129400000000
4,2697112603.000000000000000, ,5号,云居,restaurant, , , , , , , , , ,天河区, , , , ,广东省, , , ,珠江西路,Kumoi, , , , , ,广州市,510623,https://www.fourseasons.com/guangzhou/dining/restaurants/kumoi/,japanese,90 Indoor 10 Private Dining,72,+86 20 8883 3888,"Lunch 11:30-14:30, Dinner 17:30-22:30", , , ,云居, , , , , , , , , , , , , , , , , , , , ,113.318094000000000,23.120211399999999
5,2697112602.000000000000000, ,5号,意珍,restaurant, , , , , , , , , ,天河区, , , , ,广东省, , , ,珠江西路, , , , , , ,广州市,510623,https://www.fourseasons.com/guangzhou/dining/restaurants/caffe_mondo/,italian,132 indoor 16 private dining,72,+86 20 8883 3888,"Breakfast 6:30-10:30, Lunch 11:30-14:30, Dinner 17:30-22:00,", , , ,意珍, , , , , , , ,Caffe Mondo, , , , , , , , , , , , ,113.318094000000000,23.120290300000001
6,2697112616.000000000000000, ,5号,佰鲜汇,restaurant, , , , , , , , , ,天河区, , , , ,广东省, , , ,珠江西路,Catch, , , , , ,广州市,510623,https://www.fourseasons.com/guangzhou/dining/restaurants/catch/,seafood,102,100,+86 20 8883 3888,18:00-22:00, , , ,佰鲜汇, , , , , , , , , , , , , , , , , , , , ,113.318096700000000,23.120366799999999
7,2695708505.000000000000000, ,5号,广州四季酒店, , ,Four Seasons Hotels & Resorts,hotel, , , , , , ,天河区, , , , ,广东省, , , ,珠江西路,Four Seasons Hotel Guangzhou, ,69-100, , , ,广州市,510623,https://www.fourseasons.com/guangzhou/, , , ,+86 20 8883 3888, , , , ,广州四季酒店, , , , , ,yes, , ,70, , , , , , , , , , , ,113.317970200000000,23.120428799999999
8,5596657473.000000000000000, ,6,K11, , , , ,mall, , , , , , , , , , , , , , ,珠江东路,Guangzhou K11 Art Mall, , , , , , , ,https://gz.k11.com, , , ,+86 400 830 8032,Mo-Su 10:00-22:00, , , ,广州K11购物艺术中心, , , , , ,yes, , , ,yes,yes,yes,yes, , , , , , , ,113.320887300000000,23.120586700000000
9,5267459122.000000000000000,diplomatic,1901-1907室,法兰西共和国驻广州总领事馆, , , , , , , , , , , , ,Consulat Général de France à Canton, , , , , ,consulate_general,冼村路5号,Consulate General of France in Guangzhou(Canton),CN, ,FR, ,consulate, , , , , , , , , , , ,法兰西共和国驻广州总领事馆, , , , , , , , , , , , , , , , , , , , ,113.321845600000000,23.119760599999999
