FID,osm_id,amenity,addr_house,building,name,aeroway,layer,shop,operator,tourism,brand,website,name_en,wikipedia,architect_,wikidata,architect,air_condit,name_zh,start_date,addr_stree,height,community_,shelter_ty,parking,descriptio,payment_no,addr_city,addr_distr,operator_t,building_l,name_zh_Ha,wheelchair,name_zh__1,opening_ho,internet_a,wikimedia_,level,addr_postc,phone,building_1,lit,brand_wiki,short_name,brand_wi_1,emergency,healthcare,x,y,PolyCoords
0,-10061850.000000000000000,theatre,1,yes,广州大剧院, , , , , , ,https://www.gzdjy.org,Guangzhou Opera House,zh:广州大剧院,Q47780,Q3354553,زها حديد‎,yes,广州大剧院,2010-5-9,珠江西路, , , , , , , , , , , , , , , , , , , , , , , , , , ,113.317027538000000,23.117876997500002,0.000000000000000
1,312876745.000000000000000,community_centre, ,yes,广州市第二少年宫, , , , , , , , , , , , , ,广州市第二少年宫, , , ,juvenile, , , , , , , , , , , , , , , , , , , , , , , , ,113.317707437000000,23.119085961900002,0.000000000000000
2,693481403.000000000000000, , , , ,helipad, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.317718261000000,23.120306141600000,0.000000000000000
3,509632042.000000000000000,shelter, , , , , , , , , , ,Shelter for the queue, , , , , , , , , , ,weather_shelter, , , , , , , , , , , , , , , , , , , , , , , ,113.319824513000000,23.117094204000001,0.000000000000000
4,603486760.000000000000000,parking, , , , ,-1, , , , , , , , , , , , , , , , , ,underground, , , , , , , , , , , , , , , , , , , , , , ,113.318826349000010,23.117608860200001,0.000000000000000
5,603486759.000000000000000,parking, , , , ,-1, , , , , , , , , , , , , , , , , ,underground, , , , , , , , , , , , , , , , , , , , , , ,113.319331101000000,23.117779588600001,0.000000000000000
6,509631991.000000000000000, , ,yes,省博售票处, , ,ticket,广东省博物馆, , , ,Ticket Office, , , , , , , , , , , , ,票务处,yes, , , , , , , , , , , , , , , , , , , , ,113.319905950000010,23.117259399999998,0.000000000000000
7,240896442.000000000000000, ,2号,yes,广东省博物馆, , , ,Guangdong Museum,museum, ,http://www.gdmuseum.com/,Guangdong Museum,zh:广东省博物馆, ,Q5613644, , , ,2010-5-18,珠江东路, , , , , , ,广州市,天河区,government,5,广东省博物馆,yes,廣東省博物館,Tu-Su 09:00-17:00,wlan,Category:Guangdong Museum, , , , , , , , , , ,113.321418706000000,23.117417293100001,0.000000000000000
8,240896441.000000000000000,library,4号,yes,广州图书馆, , , , , , ,http://www.gzlib.gov.cn/,Guangzhou Library,zh:广州图书馆, ,Q5613736, , ,广州图书馆, ,珠江东路 Zhujiang Road East, , , , , , ,广州市, , ,7, ,yes, , ,wlan,Category:Guangzhou Library,10,510623,+86 20 8383 6666, , , , , , , ,113.320660806000010,23.118909268300001,0.000000000000000
9,554611955.000000000000000,fountain, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319166362999990,23.120312133399999,0.000000000000000
10,942039851.000000000000000, , ,retail,花城汇南区, ,-1,mall, , , , ,Huacheng Exchange South, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,113.319206804000000,23.120813487500001,0.000000000000000
11,312888407.000000000000000, , ,retail,广州友谊商店(国金店), , ,mall, , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , , , , , , ,113.317338305000010,23.120817414400001,0.000000000000000
12,717941981.000000000000000,fountain, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,yes, , , , , ,113.318018634000000,23.120829544399999,0.000000000000000
13,299812757.000000000000000, , ,commercial,高德置地广场（春）, ,-1,mall, , , ,http://www.gtlandplaza.com/,GT Land Plaza(Spring Plaza), , , , , ,高德置地广场（春）, , , , , , , , , , , ,5, , , , , , , , , ,2, , , , , , ,113.316864760000000,23.122876590499999,0.000000000000000
14,299812753.000000000000000, , ,hotel,富力君悦大酒店, , , , ,hotel,Grand Hyatt,https://guangzhou.grand.hyatt.com/zh-Hans/hotel/home.html,Grand Hyatt, , , , , ,富力君悦大酒店, , , , , , , , , , , , , , , , , , , , , , , ,Q1425063, , , , ,113.318048077000000,23.124804409500001,0.000000000000000
15,589994627.000000000000000, , ,commercial,高德置地冬广场, , ,mall, , , , , , , , , , , , , , , , , , , , , , ,6, , , , , , , , , , , , , , , , ,113.321591130000000,23.122682065300001,0.000000000000000
16,334124301.000000000000000, , ,yes,高德置地广场（冬）, , ,mall, , , ,http://www.gtlandplaza.com/,GT Land Plaza (Winter Plaza), , , , , ,高德置地广场（冬）, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.321591130000000,23.122682065300001,0.000000000000000
17,942039767.000000000000000, , ,retail,花城汇中区, ,-1,mall, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,113.319189705000000,23.123878942800001,0.000000000000000
18,1150172000.000000000000000,bicycle_parking, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316980071000000,23.127974828599999,0.000000000000000
19,942039635.000000000000000, , ,retail,花城汇北区, ,-1,mall, , , , ,Huacheng Exchange North, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,113.319244639999990,23.127438659500001,0.000000000000000
20,313517107.000000000000000, , ,yes,维家思广场, , ,mall, , , , , , , , , , ,维家思广场, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.321643499999990,23.127842250000000,0.000000000000000
