FID,osm_id,building,name,amenity,addr_house,layer,shop,operator,tourism,power,office,ref,brand,building_l,name_zh,min_level,website,name_en,wikipedia,architect_,wikidata,architect,air_condit,start_date,addr_stree,height,community_,wikimedia_,name_pt,alt_name_e,name_yue,name_ko,wikipedia_,name_th,alt_name,name_ru,name_vi,is_in_prov,is_in_coun,is_in_city,name_de,building_m,check_date,name_ja,short_name,addr_provi,is_in_co_1,name_uk,is_in_pr_1,building_c,addr_city,name_ja_ka,is_in_iso_,name_zh_pi,addr_count,descriptio,payment_no,addr_distr,operator_t,name_zh_Ha,wheelchair,name_zh__1,opening_ho,internet_a,level,addr_postc,phone,building_1,substation,building_p,government,min_levels,brand_wiki,brand_wi_1,building_r,x,y
0,-10061850.000000000000000,yes,广州大剧院,theatre,1, , , , , , , , , ,广州大剧院, ,https://www.gzdjy.org,Guangzhou Opera House,zh:广州大剧院,Q47780,Q3354553,زها حديد‎,yes,2010-5-9,珠江西路, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.317027538000000,23.117876997500002
1,312876744.000000000000000,commercial,合景国际金融广场, , ,1, , , , , , , ,6,合景国际金融广场, ,https://www.kwgproperty.com/projects/project_view.aspx?itemID=40,International Finance Place,zh-yue:合景國際金融廣場, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316518551000000,23.119145782800000
2,926991930.000000000000000,office, , , ,2, , , , , , , ,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316535379000000,23.119097725700001
3,312876745.000000000000000,yes,广州市第二少年宫,community_centre, , , , , , , , , , ,广州市第二少年宫, , , , , , , , , , , ,juvenile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.317707437000000,23.119085961900002
4,312876742.000000000000000,commercial,富力中心, , , , , , , , , , , ,富力中心, ,http://www.rfchina.com/,R&F Centre,zh:富力中心, ,Q7273221, , , , ,243, ,Category:R&F Center, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316431896000000,23.119903680099998
5,949430318.000000000000000,yes, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316374550000010,23.120513400000000
6,717941983.000000000000000,roof, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.317684541999990,23.120591451399999
7,184738716.000000000000000,commercial,广州国际金融中心(广州西塔), , , , , , , , , , ,103,广州国际金融中心(广州西塔), , ,Guangzhou International Finance Center,zh:广州国际金融中心, ,Q1043438, , ,2010, ,440.2, ,Category:Guangzhou West Tower,Centro Financeiro Internacional de Cantão,Guangzhou West Tower,廣州國際金融中心,광저우 국제금융센터,Guangzhou International Finance Center,กว่างโจวอินเตอร์เนชัลนัลไฟแนนซ์เซ็นเตอร์,广州西塔,Международный финансовый центр,Trung tâm Tài chính Quốc tế Quảng Châu,Guangdong,China,Canton,Internationales Finanzzentrum Guangzhou,glass,2021-03-10,広州国際金融センター,IFC,广东省,CN,Західна вежа Гуанчжоу,CN-GD,#000000,广州市,こうしゅうこくさいきんゆうせんたー,CN-44,Guǎngzhōu Guójì Jīnróng Zhōngxīn,CN, , , , , , , , , , , , , , , , , , , , ,113.317899671000010,23.120273493300001
8,509631991.000000000000000,yes,省博售票处, , , ,ticket,广东省博物馆, , , , , , , , , ,Ticket Office, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,票务处,yes, , , , , , , , , , , , , , , , , , ,113.319905950000010,23.117259399999998
9,240896442.000000000000000,yes,广东省博物馆, ,2号, , ,Guangdong Museum,museum, , , , ,5, , ,http://www.gdmuseum.com/,Guangdong Museum,zh:广东省博物馆, ,Q5613644, , ,2010-5-18,珠江东路, , ,Category:Guangdong Museum, , , , , , , , , , , , , , , , , , , , , , ,广州市, , , , , , ,天河区,government,广东省博物馆,yes,廣東省博物館,Tu-Su 09:00-17:00,wlan, , , , , , , , , , , ,113.321418706000000,23.117417293100001
10,240896441.000000000000000,yes,广州图书馆,library,4号, , , , , , , , ,7,广州图书馆, ,http://www.gzlib.gov.cn/,Guangzhou Library,zh:广州图书馆, ,Q5613736, , , ,珠江东路 Zhujiang Road East, , ,Category:Guangzhou Library, , , , , , , , , , , , , , , , , , , , , , ,广州市, , , , , , , , , ,yes, , ,wlan,10,510623,+86 20 8383 6666, , , , , , , , ,113.320660806000010,23.118909268300001
