FID,osm_id,layer,highway,tunnel,oneway,bicycle,foot,name,horse,service,access,junction,bridge,covered,constructi,proposed,lanes,name_en,name_zh,crossing,footway,name_zh_pi,sidewalk,conveying,handrail,incline,level,motor_vehi,sidewalk_r,maxheight,crossing_m,ramp_bicyc,oneway_bic,frequency,bus,lit,x_S,x_E,y_S,y_E
0,248282332.000000000000000, ,secondary, ,yes,no,no, ,no, , , , , , , ,2, , , , , , , , , , , , , , , , , , , ,113.318004300000000,113.316193299999990,23.116471000000001,23.116621700000000
1,29118093.000000000000000, ,secondary, ,yes,no,no,华夏路,no, , , , , , , , ,Huaxia Road,华夏路, , ,huá xià lù, , , , , , , , , , , , , , ,113.316193299999990,113.315823100000000,23.116621700000000,23.117028999999999
2,550008877.000000000000000, ,secondary, ,yes, , ,华夏路, , , , , , , , , ,Huaxia Road,华夏路, , ,huá xià lù, , , , , , , , , , , , , , ,113.315823100000000,113.315814399999990,23.117028999999999,23.117291999999999
3,550008874.000000000000000, ,secondary, ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316174100000000,113.315823100000000,23.116441699999999,23.117028999999999
4,406977632.000000000000000, ,service, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.315820600000000,113.316407799999990,23.117730900000002,23.117378100000000
5,481045549.000000000000000, ,secondary, ,yes, , ,华夏路, , , , , , , , , ,Huaxia Road,华夏路, , ,huá xià lù, , , , , , , , , , , , , , ,113.315814399999990,113.315823499999990,23.117291999999999,23.117988100000002
6,525314532.000000000000000, ,service, ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318158200000000,113.317002300000000,23.116405000000000,23.116638999999999
7,29141094.000000000000000, ,unclassified, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.315830700000010,113.316908299999990,23.118625699999999,23.118544600000000
8,406977633.000000000000000, ,service, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316048400000000,113.317847599999990,23.117718499999999,23.118365499999999
9,576645493.000000000000000, ,secondary, ,yes, , ,华夏路, , , , , , , , , ,Huaxia Road,华夏路, , ,huá xià lù,right, , , , , , , , , , , , , ,113.315823499999990,113.315844200000000,23.117988100000002,23.119486100000000
10,586026850.000000000000000, ,unclassified, , , , , , , , , , , , , , , , , , , ,both, , , , , , , , , , , , , ,113.316905400000000,113.316908299999990,23.119490899999999,23.118544600000000
11,411044293.000000000000000, ,service, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316908299999990,113.317413300000000,23.118544600000000,23.118487600000002
12,247429030.000000000000000, ,service, ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316908299999990,113.316908299999990,23.118544600000000,23.118544600000000
13,932534388.000000000000000, ,secondary, ,yes, , ,珠江西路, , , , , , , , , ,Zhujiang West Road,珠江西路, , ,zhū jiāng xī lù,both, , , , , , , , , , , , , ,113.316905400000000,113.315844200000000,23.119490899999999,23.119486100000000
14,995559502.000000000000000, ,steps,yes, , , , , , , , , , , , , , , , , , , , ,yes,up,-1;0, , , , , , , , , ,113.316075400000000,113.316235800000000,23.120017799999999,23.120082499999999
15,995559503.000000000000000, ,steps,yes, , , , , , , , , , , , , , , , , , , ,yes,yes,up,-1;0, , , , , , , , , ,113.316235800000000,113.316405700000000,23.120082499999999,23.120079000000000
16,995559496.000000000000000,-1,footway,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316096900000010,113.316059600000000,23.121718000000001,23.118903199999998
17,526242004.000000000000000, ,secondary, ,yes, , ,华夏路, , , , , , , , , ,Huaxia Road,华夏路, , ,huá xià lù,right, , , , , , , , , , , , , ,113.315844200000000,113.315884400000000,23.119486100000000,23.121387100000000
