FID,osm_id,operator,ref,name,public_tra,railway,highway,descriptio,name_en,name_zh,subway,start_date,wikipedia,bus,opening_ho,level,y,x
0,5078854576.000000000000000,广州地铁集团有限公司,3-08,客村,stop_position,stop, ,列车服务时间：每天06:18-23:46,Kecun,客村,yes,2005-12-26, , , , ,23.098995700000000,113.314804600000000
1,5078854577.000000000000000,广州地铁集团有限公司,3-08,客村,stop_position,stop, ,列车服务时间：每天06:10-23:14,Kecun,客村,yes,2005-12-26, , , , ,23.098996600000000,113.314952400000000
2,5078787516.000000000000000,广州地铁集团有限公司, ,广州塔,stop_position,stop, ,列车服务时间：每天06:16-23:44,Canton Tower,广州塔,yes,2005-12-26,zh:广州塔站 (地铁), , , ,23.109049400000000,113.317929900000000
3,5078787517.000000000000000,广州地铁集团有限公司, ,广州塔,stop_position,stop, ,列车服务时间：每天06:12-23:16,Canton Tower,广州塔,yes,2005-12-26,zh:广州塔站 (地铁), , , ,23.109040700000001,113.318043100000000
4,9494851882.000000000000000, , , ,stop_position,stop, , , , ,yes, , , , , ,23.186876200000000,113.217581100000000
5,6898322575.000000000000000, , , ,stop_position,stop, , , , ,yes, , , , , ,23.186961000000000,113.217728200000000
6,9494851820.000000000000000, , , ,stop_position,stop, , , , ,yes, , , , , ,23.194223999999998,113.212246500000010
7,9494851819.000000000000000, , , ,stop_position,stop, , , , ,yes, , , , , ,23.194288300000000,113.212367500000000
8,4945233673.000000000000000,广州地铁集团有限公司,5-11,杨箕,stop_position,stop, ,列车服务时间：每天06:16-23:52；往鱼珠-文冲各站末班车：每天23:37,Yangji,杨箕,yes,2009-12-28, , , , ,23.129381100000000,113.302294600000000
9,4945233672.000000000000000,广州地铁集团有限公司,5-11,杨箕,stop_position,stop, ,列车服务时间：每天06:16-23:23,Yangji,杨箕,yes,2009-12-28, , , , ,23.129432699999999,113.302467200000000
10,4690644189.000000000000000, , ,广州大剧院西门站, , ,bus_stop, ,Guangzhou Theater West Entrance,广州大剧院西门站, , , , , , ,23.117983299999999,113.315908900000000
11,4690639704.000000000000000, , ,市政务服务中心站,platform, ,bus_stop, , ,市政务服务中心站, , , ,yes, , ,23.120540500000001,113.315929500000000
12,8576779211.000000000000000, , ,广州国际金融中心,platform, ,bus_stop, ,Guangzhou International Finance Center,广州国际金融中心, , , ,yes, , ,23.119557799999999,113.317854999999990
13,5098221691.000000000000000, , ,广州国际金融中心站,platform, ,bus_stop, ,Guangzhou International Finance Center,广州国际金融中心站, , , ,yes, , ,23.119558900000001,113.317913300000000
14,3930846787.000000000000000, , ,海心沙公园站, , ,bus_stop, ,Haixinsha Park,海心沙公园站, , , , , , ,23.116474300000000,113.320796200000000
15,5838350325.000000000000000,广州地铁,APM-03,大剧院,stop_position,stop, ,列车服务时间：每天07:08-23:37,Guangzhou Opera House,大剧院,yes,2010-11-8, , , , ,23.118067900000000,113.318965400000000
16,6490092418.000000000000000,广州地铁,APM-03,大剧院,station,station, , ,Guangzhou Opera House,大剧院, ,2010-11-8, , , , ,23.118133499999999,113.319020900000000
17,5838350318.000000000000000,广州地铁,APM-03,大剧院,stop_position,stop, ,列车服务时间：每天07:03-23:33,Guangzhou Opera House,大剧院,yes,2010-11-8, , , , ,23.118196900000001,113.319072700000010
18,9100070994.000000000000000, ,A,大剧院站 A出入口, ,subway_entrance, , , , , , , , , , ,23.118622999999999,113.318699400000000
19,5838350337.000000000000000, ,B,大剧院站 B出入口, ,subway_entrance, , , , , , , , , , ,23.118631100000002,113.319480000000000
20,9100071001.000000000000000, ,E,大剧院站 E出入口, ,subway_entrance, , , , , , , , , , ,23.118916500000001,113.319158000000000
21,3930846794.000000000000000, , ,冼村路南站,platform, ,bus_stop, ,Xiancun Lu South,冼村路南站, , , , , , ,23.118817000000000,113.322296700000000
22,9048102842.000000000000000, ,C,珠江新城站 C出入口, ,subway_entrance, , , , , , , , ,06:09-00:01,-1,23.121453899999999,113.316384799999990
23,5176606381.000000000000000,广州地铁集团有限公司,5-13,珠江新城,stop_position,stop, ,列车服务时间：每天06:20-23:56；往鱼珠-文冲各站末班车：每天23:41,Zhujiang New Town, ,yes,2009-12-28, , , , ,23.121958500000002,113.315801100000000
24,5444631263.000000000000000, ,3-10;5-13,珠江新城,station,station, , ,Zhujiang New Town,珠江新城,yes, , , ,06:09-00:01, ,23.121981399999999,113.315801800000000
25,5176606378.000000000000000,广州地铁集团有限公司,5-13,珠江新城,stop_position,stop, ,列车服务时间：每天06:12-23:19,Zhujiang New Town, ,yes,2009-12-28, , , , ,23.122001600000001,113.315802000000010
26,5076905497.000000000000000,广州地铁集团有限公司,3-10,珠江新城,stop_position,stop, ,列车服务时间：每天06:14-23:17,Zhujiang New Town, ,yes,2005-12-26, , , , ,23.121980900000001,113.315872500000000
27,4416428843.000000000000000, , ,花城广场(友谊国金店)站,platform, ,bus_stop, ,Huacheng Square(Friendship Shop),花城广场(友谊国金店)站, , , ,yes, , ,23.121682300000000,113.317371700000000
28,9048102849.000000000000000, ,D,珠江新城站 D出入口, ,subway_entrance, , , , , , , , ,06:09-00:01,-1,23.122474100000002,113.316736600000000
29,4457608731.000000000000000, , ,华成路口站,platform, ,bus_stop, ,Huacheng Lu Entrance,华成路口站, , , ,yes, , ,23.122906000000000,113.316000300000000
30,4457608721.000000000000000, , ,花城广场西总站,platform, ,bus_stop, ,Huacheng Square West Bus Terminal,花城广场西总站, , , ,yes, , ,23.122880800000001,113.316075900000000
31,4457674889.000000000000000, , ,珠江西路南站,platform, ,bus_stop, ,Zhujiang Xi Lu South,珠江西路南站, , , ,yes, , ,23.122851799999999,113.317488500000000
32,6453866426.000000000000000, , ,华成路(高德置地广场)总站,platform, ,bus_stop, ,Huacheng Lu(GT Land Plaza) Bus Terminal,华成路(高德置地广场)总站, , , ,yes, , ,23.123204000000001,113.317247700000000
33,4690639702.000000000000000, , ,珠江大道西(华明路口)站, , ,bus_stop, ,Zhujiang Dadao West(Huaming Lu Entrance),珠江大道西(华明路口)站, , , , , , ,23.124787000000001,113.317120700000000
34,5117881036.000000000000000, , ,珠江西路中站, , ,bus_stop, ,Zhujiang Xi Lu Middle,珠江西路中站, , , , , , ,23.125203400000000,113.317590900000000
35,5836499307.000000000000000,广州地铁,APM-04,花城大道,stop_position,stop, ,列车服务时间：每天07:07-23:36,Huacheng Dadao,花城大道,yes,2010-11-8, , , , ,23.121542800000000,113.319009400000000
36,6490092412.000000000000000,广州地铁,APM-04,花城大道,station,station, , ,Huacheng Dadao,花城大道, ,2010-11-8, , , , ,23.121606400000001,113.319062200000000
37,5836499300.000000000000000,广州地铁,APM-04,花城大道,stop_position,stop, ,列车服务时间：每天07:04-23:33,Huacheng Dadao,花城大道,yes,2010-11-8, , , , ,23.121679199999999,113.319116700000000
38,5352227013.000000000000000, ,B,花城大道站 B出入口, ,subway_entrance, , , , , , , , , , ,23.121461600000000,113.319189600000000
39,5352227012.000000000000000, , ,花城大道站 A出入口, ,subway_entrance, , , , , , , , , , ,23.122174600000001,113.319172200000000
40,3930846785.000000000000000, , ,冼村路中站,platform, ,bus_stop, ,Xiancun Lu Middle,冼村路中站, , , , , , ,23.122977700000000,113.322381600000000
41,5836394651.000000000000000,广州地铁,APM-05,妇儿中心,stop_position,stop, ,列车服务时间：每天07:05-23:34,Guangzhou Women and Children's Medical Center,妇儿中心,yes,2010-11-8, , , , ,23.125442000000000,113.319061500000000
42,6490092413.000000000000000,广州地铁,APM-05,妇儿中心,station,station, , ,Guangzhou Women and Children's Medical Center,妇儿中心, ,2010-11-8, , , , ,23.125523500000000,113.319113400000010
43,5836394798.000000000000000, ,A,妇儿中心站 A出入口, ,subway_entrance, , , , , , , , , , ,23.125629799999999,113.318863600000000
44,5836394654.000000000000000,广州地铁,APM-05,妇儿中心,stop_position,stop, ,列车服务时间：每天07:06-23:34,Guangzhou Women and Children's Medical Center,妇儿中心,yes,2010-11-8, , , , ,23.125588900000000,113.319165400000000
45,5836394801.000000000000000, ,B,妇儿中心站 B出入口, ,subway_entrance, , , , , , , , , , ,23.125594199999998,113.319522699999990
46,4435754191.000000000000000, , ,华夏路北站,platform, ,bus_stop, ,Huaxia Lu North,华夏路北站, , , ,yes, , ,23.129007800000000,113.316099100000000
47,9139889963.000000000000000, ,G,冼村站 G出入口, ,subway_entrance, , , , , , , , , , ,23.127824799999999,113.322448700000000
48,3930846786.000000000000000, , ,冼村路北站,platform, ,bus_stop, ,Xiancun Lu North,冼村路北站, , , ,yes, , ,23.128337200000001,113.322448700000000
49,4690639701.000000000000000, , ,珠江西路北站, , ,bus_stop, ,Zhujiang Xi Lu North,珠江西路北站, , , , , , ,23.128980500000001,113.318689800000000
50,5832393938.000000000000000,广州地铁,APM-06,黄埔大道,stop_position,stop, ,列车服务时间：每天07:04-23:33,Huangpu Dadao,黄埔大道,yes,2010-11-8, , , , ,23.129293700000002,113.319017700000000
51,6490092414.000000000000000,广州地铁,APM-06,黄埔大道,station,station, , ,Huangpu Dadao,黄埔大道, ,2010-11-8, , , , ,23.129359600000001,113.319071500000010
52,5832393946.000000000000000,广州地铁,APM-06,黄埔大道,stop_position,stop, ,列车服务时间：每天07:06-23:35,Huangpu Dadao,黄埔大道,yes,2010-11-8, , , , ,23.129423299999999,113.319124100000000
53,4690639700.000000000000000, , ,珠江东路北站,platform, ,bus_stop, ,Zhujiang Dong Lu North,珠江东路北站, , , ,yes, , ,23.129052399999999,113.319822100000000
54,4424623403.000000000000000, , ,人民日报广东分社站,platform, ,bus_stop, ,People's daily Guangdong Branch,人民日报广东分社站, , , ,yes, , ,23.129774099999999,113.319299200000000
