FID,osm_id,layer,name,tunnel,oneway,railway,highway,access,bicycle,horse,foot,junction,covered,service,constructi,maxspeed,frequency,electrifie,name_en,gauge,voltage,name_zh,proposed,start_date,conveying,handrail,incline,level,lanes,motor_vehi,maxheight,ramp_bicyc,monorail,wikipedia,wikidata,construc_1
0,724737479.000000000000000,-3,广州地铁3号线,yes,yes,subway, , , , , , , , , ,120,0,contact_line,Guangzhou Metro Line 3,1435,1500,广州地铁3号线, , , , , , , , , , , , , , 
1,531229235.000000000000000,-3,广州地铁3号线,yes,yes,subway, , , , , , , , , ,120,0,contact_line,Guangzhou Metro Line 3,1435,1500,广州地铁3号线, , , , , , , , , , , , , , 
2,801833208.000000000000000,-1, ,yes,yes, ,proposed, , , , , , , , , , , , , , , ,secondary, , , , , , , , , , , , , 
3,801833207.000000000000000,-1, ,yes,yes, ,proposed, , , , , , , , , , , , , , , ,secondary, , , , , , , , , , , , , 
4,832172381.000000000000000,-2,广州地铁18号线,yes, ,subway, , , , , , , , , ,160,50,contact_line, ,1435,25000, , , , , , , , , , , , , , , 
5,831852019.000000000000000,-2,广州地铁18号线,yes, ,subway, , , , , , , , , ,160,50,contact_line, ,1435,25000, , , , , , , , , , , , , , , 
6,617427354.000000000000000,-2,广州地铁5号线,yes,yes,subway, , , , , , , , , ,90,0,rail,Guangzhou Metro Line 5,1435,1500,广州地铁5号线, ,2009-12-28, , , , , , , , , , , , 
7,542454660.000000000000000,-2,广州地铁5号线,yes,yes,subway, , , , , , , , , ,90,0,rail,Guangzhou Metro Line 5,1435,1500,广州地铁5号线, ,2009-12-28, , , , , , , , , , , , 
8,503773611.000000000000000,-3,广州地铁5号线,yes,yes,subway, , , , , , , , , ,90,0,rail,Guangzhou Metro Line 5,1435,1500,广州地铁5号线, ,2009-12-28, , , , , , , , , , , , 
9,503814661.000000000000000,-3,广州地铁5号线,yes,yes,subway, , , , , , , , , ,90,0,rail,Guangzhou Metro Line 5,1435,1500,广州地铁5号线, ,2009-12-28, , , , , , , , , , , , 
10,991905340.000000000000000,-1, ,yes, , ,steps, , , , , , , , , , , , , , , , , ,forward,yes,up,-1;0, , , , , , , , 
11,995559502.000000000000000, , ,yes, , ,steps, , , , , , , , , , , , , , , , , , ,yes,up,-1;0, , , , , , , , 
12,995559503.000000000000000, , ,yes, , ,steps, , , , , , , , , , , , , , , , , ,yes,yes,up,-1;0, , , , , , , , 
13,995559496.000000000000000,-1, ,yes, , ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
14,449070493.000000000000000,-1, ,yes,yes, ,secondary, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
15,248284675.000000000000000,-1, ,yes,yes, ,secondary,no, , , , , , , , , , , , , , , , , , , , ,2,yes, , , , , , 
16,444420600.000000000000000,-1, ,yes,yes, ,secondary,no, , , , , , , , , , , , , , , , , , , , ,2,yes, , , , , , 
17,449070494.000000000000000,-1, ,yes,yes, ,secondary, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18,248284676.000000000000000,-2,新中轴隧道,yes,yes, ,secondary, ,no,no,no, , , , , , , ,Xinzhongzhou Tunnel, , ,新中轴隧道, , , , , , ,2, , , , , , , 
19,102596674.000000000000000,-2,新中轴隧道,yes,yes, ,secondary, ,no,no,no, , , , , , , ,Xinzhongzhou Tunnel, , ,新中轴隧道, , , , , , ,2, , , , , , , 
20,444419547.000000000000000,-1, ,yes,yes, ,secondary, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21,759851918.000000000000000,-1, ,yes,yes, ,secondary, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
22,248284666.000000000000000,-1, ,yes,yes, ,secondary, ,no,no,no, , , , , , , , , , , , , , , , , ,2, , , , , , , 
23,444419548.000000000000000,-1, ,yes,yes, ,secondary, ,no,no,no, , , , , , , , , , , , , , , , , ,2, , , , , , , 
24,603486757.000000000000000,-2, ,yes,yes, ,secondary, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
25,603486754.000000000000000,-3, ,yes,yes, ,secondary, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
26,684901405.000000000000000,-1, ,yes, , ,service, ,no,no,no, , , , , , , , , , , , , , , , , , , ,2.2, , , , , 
27,617780115.000000000000000,-1, ,yes, , ,footway, , , , , , , , , , , , , , , , , , , , ,-1, , , , , , , , 
28,603486756.000000000000000,-1, ,yes, , ,secondary, , , , ,roundabout, , , , , , , , , , , , , , , , , , , , , , , , 
29,603486755.000000000000000,-1, ,yes,yes, ,secondary, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30,444149842.000000000000000,-1, ,yes,yes, ,secondary_link, ,no,no,no, , , , , , , , , , , , , , , , , , , , , , , , , 
31,603486758.000000000000000,-1, ,yes,yes, ,secondary, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
32,832172378.000000000000000,-3,广州地铁18号线,yes, ,subway, , , , , , , , , ,160,50,contact_line, ,1435,25000, , , , , , , , , , , , , , , 
33,832172380.000000000000000,-3,广州地铁18号线,yes, ,subway, , , , , , , , , ,160,50,contact_line, ,1435,25000, , , , , , , , , , , , , , , 
34,503962039.000000000000000, , , , , ,service, , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , 
35,991905343.000000000000000,-1, ,yes, , ,footway, , , , , , , , , , , , , , , , , , , , ,-1, , , , , , , , 
36,995559497.000000000000000,-1, ,yes, , ,steps, , , , , , , , , , , , , , , , , , ,yes,up,-1;0, , , , , , , , 
37,995559494.000000000000000,-1, ,yes, , ,footway, , , , , , , , , , , , , , , , , , , , ,-1, , , , , , , , 
38,995559515.000000000000000,-1, ,yes, , ,footway, , , , , , , , , , , , , , , , , , , , ,-1, , , , , , , , 
39,995559514.000000000000000,-1, ,yes, , ,footway, , , , , , , , , , , , , , , , , , , , ,-1, , , , , , , , 
40,991905345.000000000000000,-1, ,yes, , ,footway, , , , , , , , , , , , , , , , , , , , ,-1, , , , , , , , 
41,991905341.000000000000000,-1, ,yes, , ,steps, , , , , , , , , , , , , , , , , ,forward,yes,up,-1;0, , , , , , , , 
42,899194116.000000000000000,-2,广州地铁3号线,yes,yes,subway, , , , , , , , , ,120,0,contact_line,Guangzhou Metro Line 3,1435,1500,广州地铁3号线, , , , , , , , , , , , , , 
43,995559500.000000000000000,-1, ,yes, , ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
44,995559495.000000000000000,-1, ,yes, , ,footway, , , , , , , , , , , , , , , , , , , , ,-1, , , , , , , , 
45,995559519.000000000000000,-1, ,yes, , ,footway, , , , , , , , , , , , , , , , , , , , ,-1, , , , , , , , 
46,1062033386.000000000000000,-1, ,yes, , ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
47,995559520.000000000000000,-1, ,yes, , ,footway, , , , , , , , , , , , , , , , , , , , ,-1, , , , , , , , 
48,899194117.000000000000000,-2,广州地铁3号线,yes,yes,subway, , , , , , , , , ,120,0,contact_line,Guangzhou Metro Line 3,1435,1500,广州地铁3号线, , , , , , , , , , , , , , 
49,688292104.000000000000000, , ,building_passage,yes, ,service, , , , , , ,driveway, , , , , , , , , , , , , , , , , , , , , , 
50,586026854.000000000000000, , , , , ,footway, , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , 
51,1006819812.000000000000000, ,珠江新城 8 号隧道,yes, , ,steps, , , , , , , , , , , , , , , , , , ,yes,up, , , , ,yes, , , , 
52,1006819809.000000000000000,-1,珠江新城 8 号隧道,yes, , ,path, , , , , , , , , , , , , , , , , , , ,down, , , , , , , , , 
53,1006819810.000000000000000,-1,珠江新城 8 号隧道,yes, , ,path, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
54,1006819814.000000000000000,-1, ,yes, , ,path, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
55,248407682.000000000000000,-1,CBD隧道,yes,yes, ,primary, ,no,no,no, , , , , , , ,CBD Tunnel, , ,CBD隧道, , , , , , ,3, , , , , , , 
